Train: 5968, Depart time: 05:00, Arrival time: 00:20, Total Time: 0 days 19 hours 20 mins

Train: 851, Depart time: 22:50, Arrival time: 22:40, Total Time: 0 days 23 hours 50 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 20:30, Intemediate Station: LTRR, Intermediate wait time: 4:45, Intermediate Departure time: 01:15, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 0 days -6 hours -55 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 22:40, Intemediate Station: PRLI, Intermediate wait time: 5:30, Intermediate Departure time: 04:10, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 0 days -6 hours -10 mins
Train: 1401, Depart time: 16:50, Intermediate Arrival time: 01:35, Intemediate Station: PAU, Intermediate wait time: 7:45, Intermediate Departure time: 09:20, Second Train: 1420, Destination Arrival time: 09:56, Total Time: 1 days 0 hours 51 mins
Train: 1402, Depart time: 09:55, Intermediate Arrival time: 10:10, Intemediate Station: MA, Intermediate wait time: 6:6, Intermediate Departure time: 16:16, Second Train: 1401, Destination Arrival time: 01:00, Total Time: 0 days 21 hours 11 mins
Train: 1402, Depart time: 09:55, Intermediate Arrival time: 10:35, Intemediate Station: MO, Intermediate wait time: 5:15, Intermediate Departure time: 15:50, Second Train: 1401, Destination Arrival time: 01:00, Total Time: 0 days 20 hours 20 mins
Train: 1402, Depart time: 09:55, Intermediate Arrival time: 11:35, Intemediate Station: SUR, Intermediate wait time: 3:45, Intermediate Departure time: 15:20, Second Train: 1401, Destination Arrival time: 01:00, Total Time: 0 days 18 hours 50 mins
Train: 1419, Depart time: 20:25, Intermediate Arrival time: 21:02, Intemediate Station: BTW, Intermediate wait time: 20:35, Intermediate Departure time: 17:37, Second Train: 1401, Destination Arrival time: 01:00, Total Time: 1 days 1 hours 10 mins
Train: 1419, Depart time: 20:25, Intermediate Arrival time: 21:43, Intemediate Station: UMD, Intermediate wait time: 20:35, Intermediate Departure time: 18:18, Second Train: 1401, Destination Arrival time: 01:00, Total Time: 1 days 1 hours 10 mins
Train: 1419, Depart time: 20:25, Intermediate Arrival time: 23:05, Intemediate Station: LUR, Intermediate wait time: 20:55, Intermediate Departure time: 20:00, Second Train: 1401, Destination Arrival time: 01:00, Total Time: 1 days 1 hours 30 mins
Train: 1419, Depart time: 20:25, Intermediate Arrival time: 00:50, Intemediate Station: LTRR, Intermediate wait time: 20:5, Intermediate Departure time: 20:55, Second Train: 1401, Destination Arrival time: 01:00, Total Time: 2 days 0 hours 40 mins
Train: 1419, Depart time: 20:25, Intermediate Arrival time: 03:40, Intemediate Station: PRLI, Intermediate wait time: 19:25, Intermediate Departure time: 23:05, Second Train: 1401, Destination Arrival time: 01:00, Total Time: 2 days 0 hours 0 mins
Train: 1419, Depart time: 20:25, Intermediate Arrival time: 06:15, Intemediate Station: PAU, Intermediate wait time: 18:32, Intermediate Departure time: 00:47, Second Train: 1402, Destination Arrival time: 01:25, Total Time: 0 days 23 hours 32 mins
Train: 1419, Depart time: 20:25, Intermediate Arrival time: 06:15, Intemediate Station: PAU, Intermediate wait time: 3:5, Intermediate Departure time: 09:20, Second Train: 1420, Destination Arrival time: 09:56, Total Time: 0 days 16 hours 36 mins
