'01656',JBP PUNE SPECIA,11,ANG ,AHMADNAGAR     ,'22:57:00','23:00:00'
'01656',JBP PUNE SPECIA,12,DD  ,DAUND JN       ,'01:55:00','02:10:00'
'01656',JBP PUNE SPECIA,13,PUNE,PUNE JN        ,'04:05:00','00:00:00'
'01711',CSTM JBP SPL   ,1,CSTM,MUMBAI CST     ,'00:00:00','11:05:00'
'01711',CSTM JBP SPL   ,2,DR  ,DADAR          ,'11:17:00','11:20:00'
'01711',CSTM JBP SPL   ,3,KYN ,KALYAN JN      ,'11:57:00','12:00:00'
'01711',CSTM JBP SPL   ,4,IGP ,IGATPURI       ,'14:00:00','14:15:00'
'01711',CSTM JBP SPL   ,5,NK  ,NASIK ROAD     ,'15:05:00','15:10:00'
'01711',CSTM JBP SPL   ,6,MMR ,MANMAD JN      ,'16:18:00','16:20:00'
'01711',CSTM JBP SPL   ,7,BSL ,BHUSAVAL JN    ,'18:30:00','18:45:00'
'01711',CSTM JBP SPL   ,8,KNW ,KHANDWA        ,'22:14:00','22:15:00'
'01711',CSTM JBP SPL   ,9,HD  ,HARDA          ,'23:30:00','23:32:00'
'01711',CSTM JBP SPL   ,10,ET  ,ITARSI JN      ,'01:50:00','02:00:00'
'01711',CSTM JBP SPL   ,11,PPI ,PIPARIYA       ,'02:55:00','02:57:00'
'01711',CSTM JBP SPL   ,12,GAR ,GADARWARA      ,'03:30:00','03:32:00'
'01711',CSTM JBP SPL   ,13,NU  ,NARSINGHPUR    ,'04:00:00','04:02:00'
'01711',CSTM JBP SPL   ,14,MML ,MADAN MAHAL    ,'05:00:00','05:02:00'
'01711',CSTM JBP SPL   ,15,JBP ,JABALPUR       ,'05:10:00','00:00:00'
'01712',JBP LTT SUP SPL,1,JBP ,JABALPUR       ,'00:00:00','22:15:00'
'01712',JBP LTT SUP SPL,2,MML ,MADAN MAHAL    ,'22:21:00','22:23:00'
'01712',JBP LTT SUP SPL,3,NU  ,NARSINGHPUR    ,'23:28:00','23:30:00'
'01712',JBP LTT SUP SPL,4,GAR ,GADARWARA      ,'00:02:00','00:04:00'
'01712',JBP LTT SUP SPL,5,PPI ,PIPARIYA       ,'00:35:00','00:37:00'
'01712',JBP LTT SUP SPL,6,ET  ,ITARSI JN      ,'02:10:00','02:20:00'
'01712',JBP LTT SUP SPL,7,HD  ,HARDA          ,'03:08:00','03:10:00'
